DAS,X1,X2,Y1,Y2,pembagi
kab_321,1885,1925,578,617,4
kab_322,1215,1247,447,482,4
kab_323,2104,2227,387,486,4
kab_324,2194,2238,477,509,4
kab_325,1117,1253,420,463,4
kab_326,1220,1259,400,431,4
kab_327,205,263,247,304,4
kab_328,1276,1292,726,761,4
kab_329,1231,1285,728,758,4
kab_330,1287,1312,727,760,4
kab_331,1935,1974,350,377,4
kab_332,1947,1979,374,408,4
kab_333,2192,2269,579,684,4
kab_334,1237,1264,550,576,4
kab_335,1868,1910,360,409,4
kab_336,820,888,320,381,4
kab_337,694,734,280,315,4
kab_338,341,396,396,453,4
kab_339,2146,2316,645,771,4
kab_340,516,553,500,526,4
kab_341,2008,2164,512,576,4
kab_342,1492,1518,241,264,4
kab_343,1479,1503,245,277,4
kab_344,1491,1513,257,273,4
kab_345,1501,1524,220,251,4
kab_346,881,898,679,704,4
kab_347,1336,1424,421,497,4
kab_348,1305,1368,378,436,4
kab_349,430,499,465,534,4
kab_350,425,483,376,424,4
kab_351,315,358,428,471,4
kab_352,1377,1411,540,577,4
kab_353,1372,1398,543,565,4
kab_354,925,1022,274,358,4
kab_355,415,499,400,478,4
kab_356,388,448,452,495,4
kab_357,367,433,430,470,4
kab_358,1993,2084,428,512,4
kab_359,73,105,82,128,4
kab_360,1319,1341,736,761,4
kab_361,642,723,74,220,4
kab_362,2150,2216,515,556,4
kab_363,1305,1325,731,763,4
kab_364,850,873,684,707,4
kab_365,820,849,676,696,4
kab_366,138,166,249,270,4
kab_367,127,146,254,274,4
kab_368,140,213,263,347,4
kab_369,117,142,229,261,4
kab_370,1042,1161,94,145,4
kab_371,480,506,466,505,4
kab_372,496,576,434,528,4
kab_373,445,494,501,538,4
kab_374,434,483,525,561,4
kab_375,472,511,495,547,4
kab_376,809,836,710,729,4
kab_377,235,274,236,277,4
kab_378,232,282,212,254,4
kab_379,262,288,330,359,4
kab_380,1332,1344,287,297,4
kab_381,167,188,175,202,4
